ต้องเช็ค,รุ่น,หมวด,ชื่อรายการ,รหัส (คิดราคา),รหัสอื่นตามสี,ราคา/หน่วย,หน่วย,จำนวน,ยอดเงิน,ขนาดที่ใช้คิด,รหัส (ใบตัด),จำนวนในใบตัด,หน่วยในใบตัด,ตรงกันไหม,ไฟล์ตัดประกอบ
✓ ผ่าน,Velora บานเปิด,อลูมิเนียม,วงกบบน + วงกบข้าง,JR02885,,768,เส้น,3,1031.68,220×200 1 บาน · เดี่ยว,JR02885,3,ชิ้น,ตรง,JR_Velora_บานเปิด
✓ ผ่าน,Velora บานเปิด,อลูมิเนียม,กรอบบาน แนวนอน + กรอบบาน แนวตั้ง,JR02886,,720,เส้น,4,1282.32,220×200 1 บาน · เดี่ยว,JR02886,4,ชิ้น,ตรง,JR_Velora_บานเปิด
✓ ผ่าน,Velora บานเปิด,อลูมิเนียม,ลูกฟูก 2 ทาง แนวตั้ง (ยัดในช่อง) + ลูกฟูก 2 ทาง แนวนอน (ยัดในช่อง),JR01994,,432,เส้น,3,580.32,220×200 1 บาน · เดี่ยว,JR01994,3,ชิ้น,ตรง,JR_Velora_บานเปิด
⚪ ดูเฉย ๆ,Velora บานเปิด,อุปกรณ์/สิ้นเปลือง,ค่าอบสี (อบขาว/ดำ 100/กก. × 9.94กก.),,,100,กก.,9.94,994.37,220×200 1 บาน · เดี่ยว,,,,ใบตัดไม่ลงประเภทนี้,JR_Velora_บานเปิด
⚪ ดูเฉย ๆ,Velora บานเปิด,อุปกรณ์/สิ้นเปลือง,ค่าเปิดตู้อบ,,,2000,งาน,1,2000,220×200 1 บาน · เดี่ยว,,,,ใบตัดไม่ลงประเภทนี้,JR_Velora_บานเปิด
⚪ ดูเฉย ๆ,Velora บานเปิด,กระจก,กระจก เทมเปอร์ใส 6มม.,,,403,ตร.ม.,4.4,1773.2,220×200 1 บาน · เดี่ยว,,,,ใบตัดไม่ลงประเภทนี้,JR_Velora_บานเปิด
✓ ผ่าน,Velora บานเปิด,อุปกรณ์/สิ้นเปลือง,บานพับ (4 ตัว/บาน),JR00561,JR00560,110,ตัว,4,440,220×200 1 บาน · เดี่ยว,JR00561,4,ตัว,ตรง,JR_Velora_บานเปิด
✓ ผ่าน,Velora บานเปิด,อุปกรณ์/สิ้นเปลือง,มือจับ,JR00355,JR00356,450,ชุด,1,450,220×200 1 บาน · เดี่ยว,JR00355,1,ชุด,ตรง,JR_Velora_บานเปิด
✓ ผ่าน,Velora บานเปิด,อุปกรณ์/สิ้นเปลือง,ซิลิโคน,JR00504,,90,หลอด,2,180,220×200 1 บาน · เดี่ยว,JR00504,2,หลอด,ตรง,JR_Velora_บานเปิด
⚪ ดูเฉย ๆ,Velora บานเปิด,อุปกรณ์/สิ้นเปลือง,ค่าอบสี (อบขาว/ดำ 100/กก. × 15.43กก.),,,100,กก.,15.43,1543.16,220×200 2 บาน · เดี่ยว,,,,ใบตัดไม่ลงประเภทนี้,JR_Velora_บานเปิด
