ต้องเช็ค,รุ่น,หมวด,ชื่อรายการ,รหัส (คิดราคา),รหัสอื่นตามสี,ราคา/หน่วย,หน่วย,จำนวน,ยอดเงิน,ขนาดที่ใช้คิด,รหัส (ใบตัด),จำนวนในใบตัด,หน่วยในใบตัด,ตรงกันไหม,ไฟล์ตัดประกอบ
✓ ผ่าน,บานเลื่อน ยูโร,อลูมิเนียม,เสา + ขวาง,F7980,,1423.3,เส้น,12,8673.23,600×300 3 บาน,F7980,12,ชิ้น,ตรง,JR_FUJI_บานเลื่อน
✓ ผ่าน,บานเลื่อน ยูโร,อลูมิเนียม,คิ้ว ตั้ง + คิ้ว ขวาง,F7919,F7917,192.2,เส้น,12,1171.22,600×300 3 บาน,F7919,12,ชิ้น,ตรง,JR_FUJI_บานเลื่อน
✓ ผ่าน,บานเลื่อน ยูโร,อลูมิเนียม,เฟรมบน + เฟรมล่างกันน้ำ (งานนอก),F7869,,2623.2,เส้น,2,6394.04,600×300 3 บาน,F7869,2,ชิ้น,ตรง,JR_FUJI_บานเลื่อน
✓ ผ่าน,บานเลื่อน ยูโร,อลูมิเนียม,เฟรมข้าง,F7978,,914.2,เส้น,2,1114.18,600×300 3 บาน,F7978,2,ชิ้น,ตรง,JR_FUJI_บานเลื่อน
✓ ผ่าน,บานเลื่อน ยูโร,อลูมิเนียม,เดือย (ยูข้าง),F7986,,192.6,เส้น,2,234.73,600×300 3 บาน,F7986,2,ชิ้น,ตรง,JR_FUJI_บานเลื่อน
✓ ผ่าน,บานเลื่อน ยูโร,อลูมิเนียม,ตบเกี่ยว,F7983,,472.7,เส้น,4,1152.21,600×300 3 บาน,F7983,4,ชิ้น,ตรง,JR_FUJI_บานเลื่อน
✓ ผ่าน,บานเลื่อน ยูโร,อลูมิเนียม,เสารับแรง (สูงเกิน 2.6 ม.),F7951,,2036.2,เส้น,4,4963.24,600×300 3 บาน,F7951,4,ชิ้น,ตรง,JR_FUJI_บานเลื่อน
✓ ผ่าน,บานเลื่อน ยูโร,อลูมิเนียม,ตบยูข้าง (F7988) + ปิดตบเกี่ยว (F7988) + ตบกันสาด#2 (F7988),F7988,,70.5,เส้น,7,343.68,600×300 3 บาน,F7988,7,ชิ้น,ตรง,JR_FUJI_บานเลื่อน
✓ ผ่าน,บานเลื่อน ยูโร,อลูมิเนียม,ตบปิดราง F7993,F7993,,95,เส้น,3,347.34,600×300 3 บาน,F7993,3,ชิ้น,ตรง,JR_FUJI_บานเลื่อน
✓ ผ่าน,บานเลื่อน ยูโร,อลูมิเนียม,ตบราง F7994,F7994,,135,เส้น,3,493.59,600×300 3 บาน,F7994,3,ชิ้น,ตรง,JR_FUJI_บานเลื่อน
✓ ผ่าน,บานเลื่อน ยูโร,อลูมิเนียม,ตบปิดร่องบน (ตบกันสาด),F7992,,509,เส้น,1,620.34,600×300 3 บาน,F7992,1,ชิ้น,ตรง,JR_FUJI_บานเลื่อน
⚪ ดูเฉย ๆ,บานเลื่อน ยูโร,กระจก,กระจก เขียว 6มม.,,,264,ตร.ม.,18.6,4910.4,600×300 3 บาน,,,,ใบตัดไม่ลงประเภทนี้,JR_FUJI_บานเลื่อน
✓ ผ่าน,บานเลื่อน ยูโร,อุปกรณ์/สิ้นเปลือง,ล้อ-15x20x230 (2/บาน),JR00577,,80,ตัว,6,480,600×300 3 บาน,JR00577,6,ตัว,ตรง,JR_FUJI_บานเลื่อน
🔴 ต้องแก้,บานเลื่อน ยูโร,อุปกรณ์/สิ้นเปลือง,มือจับ Align (2/บาน),JR00378,,99,ตัว,4,396,600×300 3 บาน,JR00378,2,ชุด,จำนวนต่าง,JR_FUJI_บานเลื่อน
✓ ผ่าน,บานเลื่อน ยูโร,อุปกรณ์/สิ้นเปลือง,แกนมือจับ A,JR00478,,18,อัน,4,72,600×300 3 บาน,JR00478,4,อัน,ตรง,JR_FUJI_บานเลื่อน
✓ ผ่าน,บานเลื่อน ยูโร,อุปกรณ์/สิ้นเปลือง,แกนมือจับ B,JR00479,,18,อัน,4,72,600×300 3 บาน,JR00479,4,อัน,ตรง,JR_FUJI_บานเลื่อน
✓ ผ่าน,บานเลื่อน ยูโร,อุปกรณ์/สิ้นเปลือง,ปลายมือจับ ดำ,JR00476,,30,อัน,4,120,600×300 3 บาน,JR00476,4,อัน,ตรง,JR_FUJI_บานเลื่อน
✓ ผ่าน,บานเลื่อน ยูโร,อุปกรณ์/สิ้นเปลือง,ตัวที เงิน,JR00475,,30,อัน,2,60,600×300 3 บาน,JR00475,2,อัน,ตรง,JR_FUJI_บานเลื่อน
✓ ผ่าน,บานเลื่อน ยูโร,อุปกรณ์/สิ้นเปลือง,ก้ามปูรับล็อค,JR00477,,9,อัน,4,36,600×300 3 บาน,JR00477,4,อัน,ตรง,JR_FUJI_บานเลื่อน
🔵 เช็คว่าคิดเกินไหม,บานเลื่อน ยูโร,อุปกรณ์/สิ้นเปลือง,ชุดล็อค,JR00246,,189,ชุด,2,378,600×300 3 บาน,,,,ใบตัดไม่มีรายการนี้,JR_FUJI_บานเลื่อน
✓ ผ่าน,บานเลื่อน ยูโร,อุปกรณ์/สิ้นเปลือง,ฉากประกอบมุม (12/บาน),JR00480,,2,ตัว,36,72,600×300 3 บาน,JR00480,36,ตัว,ตรง,JR_FUJI_บานเลื่อน
✓ ผ่าน,บานเลื่อน ยูโร,อุปกรณ์/สิ้นเปลือง,สปิงก็อท (4/บาน),JR00592,,29,ตัว,12,348,600×300 3 บาน,JR00592,12,ตัว,ตรง,JR_FUJI_บานเลื่อน
✓ ผ่าน,บานเลื่อน ยูโร,อุปกรณ์/สิ้นเปลือง,ยางรูน้ำ,JR00589,,5,อัน,11,55,600×300 3 บาน,JR00589,11,อัน,ตรง,JR_FUJI_บานเลื่อน
✓ ผ่าน,บานเลื่อน ยูโร,อุปกรณ์/สิ้นเปลือง,วาวรูน้ำ,JR00485,,5,อัน,11,55,600×300 3 บาน,JR00485,11,อัน,ตรง,JR_FUJI_บานเลื่อน
🔵 เช็คว่าคิดเกินไหม,บานเลื่อน ยูโร,อุปกรณ์/สิ้นเปลือง,สักหลาด,JR00794,,1.5,ม.,96,144,600×300 3 บาน,,,,ใบตัดไม่มีรายการนี้,JR_FUJI_บานเลื่อน
✓ ผ่าน,บานเลื่อน ยูโร,อุปกรณ์/สิ้นเปลือง,น็อต,JR00864,,1,ตัว,20,20,600×300 3 บาน,JR00864,20,ตัว,ตรง,JR_FUJI_บานเลื่อน
